	Month	Type	Number_of_flights
1	Jan-00	Cancelled	24515
2	Feb-00	Cancelled	15188
3	Mar-00	Cancelled	10237
4	Apr-00	Cancelled	11642
5	May-00	Cancelled	16513
6	Jun-00	Cancelled	18632
7	Jul-00	Cancelled	15526
8	Aug-00	Cancelled	14991
9	Sep-00	Cancelled	10365
10	Oct-00	Cancelled	10369
11	Nov-00	Cancelled	10912
12	Dec-00	Cancelled	28600
13	Jan-00	Uncancelled	445962
14	Feb-00	Uncancelled	429311
15	Mar-00	Uncancelled	472707
16	Apr-00	Uncancelled	451621
17	May-00	Uncancelled	462396
18	Jun-00	Uncancelled	452468
19	Jul-00	Uncancelled	467816
20	Aug-00	Uncancelled	476375
21	Sep-00	Uncancelled	452732
22	Oct-00	Uncancelled	475392
23	Nov-00	Uncancelled	456339
24	Dec-00	Uncancelled	452438
25	Jan-01	Cancelled	19891
26	Feb-01	Cancelled	17448
27	Mar-01	Cancelled	17876
28	Apr-01	Cancelled	11414
29	May-01	Cancelled	9452
30	Jun-01	Cancelled	15509
31	Jul-01	Cancelled	11286
32	Aug-01	Cancelled	13318
33	Sep-01	Cancelled	99324
34	Oct-01	Cancelled	6850
35	Nov-01	Cancelled	4497
36	Dec-01	Cancelled	4333
37	Jan-01	Uncancelled	510049
38	Feb-01	Uncancelled	460376
39	Mar-01	Uncancelled	513243
40	Apr-01	Uncancelled	502773
41	May-01	Uncancelled	520488
42	Jun-01	Uncancelled	504721
43	Jul-01	Uncancelled	527154
44	Aug-01	Uncancelled	531033
45	Sep-01	Uncancelled	391374
46	Oct-01	Uncancelled	436946
47	Nov-01	Uncancelled	412889
48	Dec-01	Uncancelled	425536
49	Jan-02	Cancelled	7301
50	Feb-02	Cancelled	4323
51	Mar-02	Cancelled	6033
52	Apr-02	Cancelled	4513
53	May-02	Cancelled	4442
54	Jun-02	Cancelled	7666
55	Jul-02	Cancelled	6260
56	Aug-02	Cancelled	5339
57	Sep-02	Cancelled	3686
58	Oct-02	Cancelled	4549
59	Nov-02	Cancelled	3675
60	Dec-02	Cancelled	7356
61	Jan-02	Uncancelled	429035
62	Feb-02	Uncancelled	395212
63	Mar-02	Uncancelled	441863
64	Apr-02	Uncancelled	433628
65	May-02	Uncancelled	445604
66	Jun-02	Uncancelled	440667
67	Jul-02	Uncancelled	459313
68	Aug-02	Uncancelled	461425
69	Sep-02	Uncancelled	426310
70	Oct-02	Uncancelled	442041
71	Nov-02	Uncancelled	411349
72	Dec-02	Uncancelled	419769
